1_layer,2_layer,3_layer,4_layer,5_layer
6.063221848533103,6.012070413255903,4.775589253368552,5.836807838167068,3.7827533143735668
4.956651259771435,3.8684954386234898,5.095074536186649,6.612134421777297,4.645122471076753
3.440204964155086,5.525611463354018,4.585184696815785,3.616907254999841,4.399572762577645
4.727988758804546,4.448047122729197,5.203194988722123,6.331188865636735,5.170856818191376
5.475982536968951,5.303140558083892,5.391115446847427,3.9123522088338785,3.5561590957191473
4.688057671714081,3.783381183166567,5.662134903536565,4.102135922032139,6.474523344170452
5.982825942489714,4.191091567239375,5.949941024649393,7.3411825014781495,4.858388988322432
5.515078000799115,6.739108307004194,5.335474579077175,5.586896743429874,4.005616739286715
5.605320283766166,5.834100171079296,6.075325462249053,4.742915815220043,7.094233210401433
5.405769526041572,5.008370442447035,4.618781440490912,4.719359684635939,2.4676957092716667
6.536632893813642,6.086165982717736,4.579628162170162,4.565568096765011,4.595850814161089
3.790522723185539,5.392349557131296,5.063204203012133,4.9914352089069185,6.0981259965794665
4.631620072608122,5.906679096838111,3.946820427379597,4.314764194644036,4.917926066081092
5.28916768022324,5.670993667951089,5.373777314662895,4.691843987129631,4.197294488135855
5.428294678375836,5.216794593495744,5.043608038722409,6.488976192542456,6.37592530519686
5.395604318524047,5.68447368148223,3.996434064935398,5.548130246643927,5.868336309082281
5.484887250279486,6.089628820767841,4.0675585282567805,5.359814813211423,3.4546257353116676
4.70223039210316,5.078740515014306,5.992399087932481,4.323532969795942,3.7649752785514248
6.39303650995425,6.399397779442898,5.969391775117598,2.927312953286135,4.555336667590917
5.417398242478379,7.531149565801376,5.705439040970396,5.144890416747222,4.650179879375426
3.8171796441550354,6.425409307591702,3.026594282747028,5.7151036522062615,3.297561903060688
4.555601511618688,4.896391721986632,5.0978055470182015,5.223882246823119,6.138503697309384
5.0819321823541195,4.921410417067112,5.7153864536031,6.266429125141929,3.5573825362800755
5.653988197872099,4.526835149402443,4.714116463267924,6.2258269777574675,5.272848605107685
5.353333555723369,6.683535589764874,7.163167744806348,4.810954707554014,5.285934173719634
4.452524412511438,5.6676728821087154,4.078565685370356,4.296360487776455,3.9127156579754496
3.5945750724662684,4.918481559947517,4.730111884988613,4.9208445949189965,6.0197615529883945
3.778023367900908,3.9892887126875944,5.862572673009113,6.493372455520114,6.201431268573777
3.991929996720785,5.662844216587914,5.091322218034772,6.006359500799427,4.664024966465847
6.104147667744079,5.075303337007878,5.828882092832734,4.2720566918779985,6.378501817339148
